,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,Unnamed: 0,VOLUME,WORT STRENGTH
5933,6.2 g/l,,13.0%,,,White wine,Nuanced & structured,metal screw cap,Italy,0.1 €,70.0 Kcal / 100ml,"Grillo,Viognier","fatty fish,pork,seafood,spicy and meaty sausages,metal screw cap,organic",,Inycon Grillo Viognier Organic 2016,bottle,13.08 EUR,Cantine Settesoli,549807,Sicily,DOC Sicilia,general selection,2.0 g/l,Vinetum,"dry,acidic,yellow plum notes,honey melon notes,green pear notes,whitecurrant notes",0,0.75,
5934,5.2 g/l,,14.0%,,,Red wine,Robust & powerful,natural cork,France,,80.0 Kcal / 100ml,"Cabernet Sauvignon,Merlot","meditation beverage,game,beef,grilled food",A wooden transport packaging,Château Marojallia 2015,bottle,86.37 EUR,Domaine Philippe Porcheron,484557,Bordeaux,AC Margaux,limited quantity product,,Ets Thunevin,"full-bodied,tannic,blackcurrant notes,blackberry notes,dark cherry notes,pencil lead notes,oak notes,warm,robust,strong,heavy,long",0,0.75,
5935,,,40.0%,,,Whisky,Smooth & fruity,plastic closure,Canada,0.2 €,220.0 Kcal / 100ml,,,,Black Velvet plastic bottle,plastic bottle,33.38 EUR,Black Velvet Distilling,111966,,,general selection,,Wennerco,"light-bodied,golden-yellow,light apricot notes,toffee notes,hint of black pepper",0,0.5,
5936,5.7 g/l,,13.0%,,,Red wine,Nuanced & developed,natural cork,Greece,,70.0 Kcal / 100ml,,"mutton, lamb,meditation beverage,strong cheeses,game",,Lyrarakis Symbolo Grand Cuvée 2012,bottle,67.83 EUR,G.E.A.,467297,,PGI Crete,limited quantity product,3.0 g/l,Gavrielides,"full-bodied,tannic,blackcurrant notes,sour cherry,raspberry notes,stable notes,light spice notes,hint of pepper,nuanced",0,0.75,
5937,8.3 g/l,,12.0%,,,White wine,Crisp & fruity,,Germany,,70.0 Kcal / 100ml,Riesling,"seafood,fatty fish,savoury snacks,lean fish",,50° Riesling 2017 bag-in-box,bag-in-box,14.0 EUR,JWG Johannisberger Weinvertrieb,548858,Rheingau,Qualitätswein Rheingau,general selection,7.0 g/l,Henkell Freixenet Finland,"dry,acidic,rhubarb notes,lime notes,pineapple notes,mineral notes,minerally,light herb notes",0,2.0,
5938,6.0 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,0.1 €,70.0 Kcal / 100ml,,"aperitif,lean fish,clams, mussels, scallops and oysters,party wine",,Nicolas Feuillatte Grand Cru Blanc de Blancs Champagne Brut 2012,bottle,73.05 EUR,Nicolas Feuillatte,903167,Champagne,AC Champagne,sale-to-order selection,8.0 g/l,Norex Spirits Oy Ab,"brut,acidic,citrus notes,fruity,long",0,0.75,
5939,,,6.5%,,,Mixed drinks,Fruity,crown cap,France,,60.0 Kcal / 100ml,,,,Ice Tropez,bottle,22.18 EUR,Domain Tropez,953133,,,sale-to-order selection,50.0 g/l,Nice To Do Finland Oy,"salmon,medium-sweet,fruity",0,0.275,
5940,5.1 g/l,,20.0%,,,Dessert wine & other fortified wines,Port wine,natural cork,Portugal,,160.0 Kcal / 100ml,,"strong cheeses,meditation beverage,sweet desserts,mild cheeses",,Sandeman Porto The Journey Vintage 2000,bottle,131.99 EUR,Sandeman,323567,,Vintage Port,limited quantity product,120.0 g/l,Pernod Ricard,"brick-red,sweet,raisin notes,date cake notes,fig jam notes,ripe boysenberry notes,chocolaty,spicy,nuanced",0,0.75,
5941,7.3 g/l,,12.0%,,,Sparkling wine & champagne,Mellow & sweet,natural cork,France,0.1 €,90.0 Kcal / 100ml,"Auxerrois,Pinot Blanc","berries and fruits,party wine,hot food,oriental food",,Bestheim Crémant d'Alsace Ice Demi-Sec,bottle,22.52 EUR,Bestheim,956087,,AOC Crémant d'Alsace,sale-to-order selection,45.0 g/l,CISA Drinks,"medium sweet,acidic,peach notes,apricot notes,yellow plum notes",0,0.75,
5942,,,37.5%,,,Vodka & spirit,Flavoured vodka,metal screw cap,France,,210.0 Kcal / 100ml,,metal screw cap,,Ciroc Red Berry,bottle,73.01 EUR,Diageo,942317,,,sale-to-order selection,,Hartwall,"colourless,dry,soft,smooth,neutral",0,0.7,
5943,5.6 g/l,,13.0%,,,White wine,Crisp & fruity,metal screw cap,France,0.1 €,80.0 Kcal / 100ml,Pinot Gris,"pork,fatty fish,strong cheeses,mushrooms,metal screw cap",,Cave du Roi Dagobert Pinot Gris Découverte 2016,bottle,21.17 EUR,Cave du Roi Dagobert,934765,Alsace,AOC Alsace,sale-to-order selection,10.0 g/l,Servaali,"medium dry,acidic,honey notes,citrus notes,apricot notes",0,0.75,
5944,,,40.0%,,,Vodka & spirit,Vodka,metal screw cap,Finland,,220.0 Kcal / 100ml,,metal screw cap,,Finlandia Vodka plastic bottle,plastic bottle,35.96 EUR,Altia,101776,,,general selection,,Wennerco,"colourless,dry,warm,neutral",0,0.5,
5945,,,6.5%,"strong lager
(bock)",19.0 EBU,Beer,Strong lager,can,Finland,0.15 €,60.0 Kcal / 100ml,,"casseroles,mild sausages,game,savoury snacks",,Mallaskosken True Bock can,can,6.26 EUR,Mallaskosken Panimo,737026,,,general selection,,Servaali,"chestnut brown,full-bodied,medium hopped,malty,ripe plum notes,light syrup notes,slightly baked",0,0.5,16.6 °P
5946,,,0.0%,,6.0 EBU,Non-alcoholic,Beer,crown cap,Holland,0.1 €,20.0 Kcal / 100ml,,,,Bavaria Wit Non-alcoholic,bottle,3.61 EUR,Bavaria,704544,,Wheat beer,general selection,,Servaali,"pale yellow,cloudy,light,mildly hopped,citrus notes,light banana notes,hint of herb,fresh,refreshing",0,0.33,6.8 °P
5947,,,6.5%,"speciality
(saison)",27.0 EBU,Beer,Speciality,crown cap,Belgium,,50.0 Kcal / 100ml,,casseroles,,Saison Dupont,bottle,13.58 EUR,Brasserie Dupont,946754,,,sale-to-order selection,,Ultimator,"golden-yellow,light-bodied,cloudy,medium hopped,fruity,spicy",0,0.33,13.6 °P
5948,5.3 g/l,Lower-alcohol wine. Contains strawberry,8.0%,,,Sparkling wine & champagne,,natural cork,Chile,0.1 €,70.0 Kcal / 100ml,,"sweet desserts,party wine,aperitif",,Fresita,bottle,14.12 EUR,Viña Casal,563967,,,general selection,70.0 g/l,Alpha Beverages,"sweet,slightly acidic,strawberry notes,citrus notes,red,cloudy",0,0.75,
5949,6.4 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,natural cork,France,,70.0 Kcal / 100ml,"Chardonnay,Pinot Noir,Pinot Meunier","aperitif,clams, mussels, scallops and oysters,sushi,seafood,organic,biodynamic,suitable for vegans",,Leclerc Briant Millésime Extra Brut  2010,bottle,78.52 EUR,Champagne Leclerc Briant,932207,Champagne,AC Champagne,sale-to-order selection,9.0 g/l,Vinum Import,"brut,very acidic,citrus notes,elegant,mineral notes,minerally",0,0.75,
