,Unnamed: 0,ACIDS,ADDITIONAL INFORMATION,ALCOHOL,BEER TYPE,BITTERNESS,CATEGORY,CHARACTERISTICS,CLOSURE,COUNTRY,DEPOSIT,ENERGY,GRAPE,ICONS,MORE INFORMATION,NAME,PACKAGING,PRICE / LITRE,PRODUCER,PRODUCT NUMBER,REGION1,REGION2,SELECTION,SUGAR,SUPPLIER,TASTE PROFILE,VOLUME,WORT STRENGTH
8126,0,,,0.0%,,11.0 EBU,Non-alcoholic,Beer,can,Finland,0.15 €,20.0 Kcal / 100ml,,,,Lapin Kulta Zero Alkoholiton Vaalea Olut can,can,3.12 EUR,Oy Hartwall Ab,702314,,,general selection,,Hartwall,"grain yellow,light,medium hopped,malt biscuit notes,light citrus notes,hint of honey,noble hop aroma",0.33,5.1 °P
8127,0,7.1 g/l,,10.5%,,,White wine,Nuanced & structured,natural cork,Germany,,60.0 Kcal / 100ml,Riesling,"chicken, turkey,seafood,clams, mussels, scallops and oysters,fatty fish",,Dr H. Thanisch Wehlener Sonnenuhr Riesling Spätlese Trocken 2014,bottle,44.39 EUR,Dr H. Thanisch Erben Müller-Burggraeff,914037,Mosel,Deutscher Prädikatswein Kabinett,sale-to-order selection,8.0 g/l,Wineworld Finland,"dry,very acidic,pear notes,herbal notes,mineral notes,minerally",0.75,
8128,0,,,6.0%,"stout & porter
(porter)",46.0 EBU,Beer,Stout & porter,crown cap,Scotland,0.1 €,60.0 Kcal / 100ml,,"casseroles,game,mutton, lamb,chocolate desserts",,Harviestoun Old Engine Oil,bottle,10.36 EUR,Harviestoun Brewery,785234,,,general selection,,Craft & Cask,"brownish-black,full-bodied,strongly hopped,toasted malt notes,oat flake notes,dark chocolate notes,espresso-like,rich,full-bodied,long",0.33,15.8 °P
8129,0,6.6 g/l,,12.0%,,,Sparkling wine & champagne,Nuanced & structured,,France,0.1 €,70.0 Kcal / 100ml,"Chardonnay,Pinot Noir,Pinot Meunier","game birds,blini,fatty fish,seafood",,Billecart-Salmon Rosé Champagne Brut,bottle,99.73 EUR,Billecart-Salmon,932527,Champagne,AC Champagne,general selection,10.0 g/l,Vindirekt Finland,"brut,very acidic,ripe citrus notes,wild berry notes,cherry notes,mineral notes,minerally,toasted,roasted,baked",0.75,
8130,0,9.8 g/l,Lower-alcohol wine,8.0%,,,White wine,Crisp & fruity,metal screw cap,Germany,,60.0 Kcal / 100ml,Riesling,"meditation beverage,sushi,tapas and antipasti,mild cheeses,metal screw cap",,Dr. Loosen Blue Slate Riesling Kabinett  2016,bottle,22.64 EUR,Dr. Loosen,936167,Mosel,Prädikatswein Mosel,sale-to-order selection,45.0 g/l,Winestate,"medium sweet,acidic,citrus notes,fruity,spicy",0.75,
8131,0,4.3 g/l,May contain potassium bitartrate,13.5%,,,Rosé wine,Dry,metal screw cap,France,,80.0 Kcal / 100ml,,"savoury snacks,salads, vegetarian food,sushi,beef,metal screw cap",,Domaine La Suffrene 2017,bottle,37.25 EUR,Domaine La Suffrene,484954,,AC Bandol,general selection,2.0 g/l,Sari Wines And Spirits,"dry,acidic,raspberry notes,citrus notes,redcurrant notes,cranberry notes,herbal notes",0.375,
8132,0,5.5 g/l,,15.0%,,,Red wine,Nuanced & developed,natural cork,Italy,0.1 €,90.0 Kcal / 100ml,Corvina,"game,mild cheeses,mutton, lamb,beef",,Astoria Amarone della Valpolicella 2013,bottle,39.84 EUR,Astoria,947587,The Veneto,DOCG Amarone della Valpolicella,sale-to-order selection,7.0 g/l,Vinum Import,"full-bodied,medium tannic,currant notes,cranberry notes,leather notes",0.75,
8133,0,,,24.0%,,,Liqueur & bitter,Spice liqueurs,metal screw cap,Holland,,240.0 Kcal / 100ml,,metal screw cap,,Bols Ginger,bottle,29.96 EUR,Lucas Bols,900066,,,sale-to-order selection,250.0 g/l,Edrington Finland,"pale yellow,cloudy,full-bodied,ginger notes",0.5,
8134,0,,Mild alcoholic beverage,16.5%,,,Liqueur & bitter,Berry liqueurs,plastic closure,France,0.1 €,210.0 Kcal / 100ml,,,,Chambord Black Raspberry Liqueur,bottle,52.8 EUR,Brown-Forman,209146,,,general selection,290.0 g/l,Wennerco,"red,medium full bodied,blackberry notes,blackcurrant notes,vanilla notes,aromatic",0.5,
8135,0,,Mild alcoholic beverage,16.5%,,,Liqueur & bitter,Berry liqueurs,plastic closure,France,0.1 €,210.0 Kcal / 100ml,,,,Chambord Black Raspberry Liqueur,bottle,52.8 EUR,Brown-Forman,209146,,,general selection,290.0 g/l,Wennerco,"red,medium full bodied,blackberry notes,blackcurrant notes,vanilla notes,aromatic",0.5,
